order_id,customer_id,discount_applied,order_total,order_date,sale_period,item_id,discount_amount,cart_id,cart_status,discount_viewed,store_id,page_type,time_spent,cart_modification_timestamp,loyalty_program_enrolled,wishlist_status,purchase_date,return_status,discount_offer_timestamp,discount_use_timestamp,purchase_timestamp,search_query
1,39,True,69.82,2024-03-22 18:56:05.564599,False,39,1.53,1,abandoned,True,2,non-discount,224.98,2024-03-23 11:56:05.564599,False,added,,False,2024-03-27 18:56:05.564599,2024-04-05 18:56:05.564599,,watch
2,29,False,184.59,2024-06-25 18:56:05.564631,False,100,0.0,2,completed,True,17,discount,292.97,2024-06-26 14:56:05.564631,True,removed,2024-07-04 18:56:05.564631,True,2024-07-04 18:56:05.564631,2024-07-13 18:56:05.564631,2024-07-05 04:56:05.564631,laptop
3,15,False,454.35,2024-02-03 18:56:05.564641,False,33,0.0,3,completed,True,14,non-discount,184.13,2024-02-04 03:56:05.564641,True,added,2024-02-10 18:56:05.564641,True,2024-02-04 18:56:05.564641,2024-02-08 18:56:05.564641,2024-02-11 04:56:05.564641,watch
4,43,False,143.34,2024-07-06 18:56:05.564651,True,101,0.0,4,abandoned,True,13,discount,201.83,2024-07-07 11:56:05.564651,False,added,,False,2024-07-11 18:56:05.564651,2024-07-16 18:56:05.564651,,phone
5,8,True,327.37,2023-12-03 18:56:05.564660,False,23,47.55,5,completed,True,9,discount,270.61,2023-12-04 14:56:05.564660,False,added,2023-12-04 18:56:05.564660,False,2023-12-12 18:56:05.564660,2023-12-14 18:56:05.564660,2023-12-05 05:56:05.564660,headphones
6,21,True,10.25,2024-02-21 18:56:05.564670,True,10,47.58,6,abandoned,False,15,non-discount,42.64,2024-02-22 16:56:05.564670,False,removed,,False,,,,phone
7,39,True,182.76,2024-06-20 18:56:05.564679,False,69,29.1,7,abandoned,False,15,non-discount,122.22,2024-06-21 16:56:05.564679,True,added,,False,,,,phone
8,19,True,159.34,2023-12-11 18:56:05.564690,True,100,31.96,8,abandoned,True,11,non-discount,276.0,2023-12-12 02:56:05.564690,False,removed,,False,2023-12-12 18:56:05.564690,2023-12-21 18:56:05.564690,,watch
9,23,False,90.68,2024-06-07 18:56:05.564706,True,34,0.0,9,completed,True,16,non-discount,221.45,2024-06-08 11:56:05.564706,True,removed,2024-06-14 18:56:05.564706,False,2024-06-16 18:56:05.564706,2024-06-24 18:56:05.564706,2024-06-15 15:56:05.564706,shoes
10,11,True,271.7,2023-11-07 18:56:05.564717,False,180,15.37,10,completed,True,17,discount,173.08,2023-11-08 01:56:05.564717,False,added,2023-11-12 18:56:05.564717,False,2023-11-15 18:56:05.564717,2023-11-18 18:56:05.564717,2023-11-13 01:56:05.564717,camera
11,11,True,247.57,2023-10-19 18:56:05.564727,True,138,17.1,11,completed,False,4,non-discount,367.97,2023-10-19 19:56:05.564727,True,added,2023-10-25 18:56:05.564727,True,,,2023-10-26 12:56:05.564727,camera
